央视频道,#genre#
吉林卫视,http://221.2.36.34:8888/newlive/live/hls/35/live.m3u8
青海卫视,http://221.2.36.34:8888/newlive/live/hls/39/live.m3u8
辽宁卫视,http://221.2.36.34:8888/newlive/live/hls/43/live.m3u8
东南卫视,http://221.2.36.34:8888/newlive/live/hls/44/live.m3u8
黑龙江卫视,http://221.2.36.34:8888/newlive/live/hls/45/live.m3u8
河北卫视,http://221.2.36.34:8888/newlive/live/hls/46/live.m3u8
海南卫视,http://221.2.36.34:8888/newlive/live/hls/47/live.m3u8
江西卫视,http://221.2.36.34:8888/newlive/live/hls/48/live.m3u8
甘肃卫视,http://221.2.36.34:8888/newlive/live/hls/36/live.m3u8
西藏卫视,http://221.2.36.34:8888/newlive/live/hls/37/live.m3u8
新疆卫视,http://221.2.36.34:8888/newlive/live/hls/38/live.m3u8
青海卫视,http://221.2.36.34:8888/newlive/live/hls/39/live.m3u8
宁夏卫视,http://221.2.36.34:8888/newlive/live/hls/40/live.m3u8
陕西卫视,http://221.2.36.34:8888/newlive/live/hls/41/live.m3u8
山西卫视,http://221.2.36.34:8888/newlive/live/hls/49/live.m3u8
内蒙古卫视,http://221.2.36.34:8888/newlive/live/hls/50/live.m3u8
兵团卫视,http://221.2.36.34:8888/newlive/live/hls/51/live.m3u8
省内频道,#genre#
山东齐鲁,http://221.0.78.198:1681/hls/10225/index.m3u8
山东综艺,http://221.0.78.198:1681/hls/10220/index.m3u8
山东文旅,http://221.0.78.198:1681/hls/10219/index.m3u8
山东文旅,http://221.2.36.34:8888/newlive/live/hls/53/live.m3u8
山东新闻,http://221.0.78.198:1681/hls/10222/index.m3u8
山东农科,http://221.0.78.198:1681/hls/10223/index.m3u8
山东体育,http://221.0.78.198:1681/hls/10224/index.m3u8
山东生活,http://221.0.78.198:1681/hls/10226/index.m3u8
山东少儿,http://221.0.78.198:1681/hls/10227/index.m3u8
山东教育,http://221.0.78.198:1681/hls/10221/index.m3u8
山东教育,http://221.2.36.34:8888/newlive/live/hls/52/live.m3u8
少儿影视频道,#genre#
金鹰纪实,http://221.0.78.198:1681/hls/10264/index.m3u8
金鹰卡通,http://221.0.78.198:1681/hls/10265/index.m3u8
酷卡少儿,http://221.0.78.198:1681/hls/10228/index.m3u8
酷卡少儿,http://221.2.36.34:8888/newlive/live/hls/54/live.m3u8
CHC家庭影院,http://221.2.36.34:8888/newlive/live/hls/55/live.m3u8
CHC动作电影,http://221.2.36.34:8888/newlive/live/hls/56/live.m3u8
CHC高清电影,http://221.2.36.34:8888/newlive/live/hls/57/live.m3u8
山东联通,#genre#
CCTV-1,http://119.164.216.162:9901/tsfile/live/0001_1.m3u8
CCTV-2,http://119.164.216.162:9901/tsfile/live/0002_1.m3u8
CCTV-3,http://119.164.216.162:9901/tsfile/live/0003_1.m3u8
CCTV-4,http://119.164.216.162:9901/tsfile/live/0004_1.m3u8
CCTV-5,http://119.164.216.162:9901/tsfile/live/0005_1.m3u8
CCTV-6,http://119.164.216.162:9901/tsfile/live/0006_1.m3u8
CCTV-7,http://119.164.216.162:9901/tsfile/live/1000_1.m3u8
CCTV-8,http://119.164.216.162:9901/tsfile/live/0008_1.m3u8
CCTV-9,http://119.164.216.162:9901/tsfile/live/0009_1.m3u8
CCTV-10,http://119.164.216.162:9901/tsfile/live/0010_1.m3u8
CCTV-11,http://119.164.216.162:9901/tsfile/live/0011_1.m3u8
CCTV-12,http://119.164.216.162:9901/tsfile/live/0012_1.m3u8
CCTV-13,http://119.164.216.162:9901/tsfile/live/0013_1.m3u8
CCTV-14,http://119.164.216.162:9901/tsfile/live/0014_1.m3u8
CCTV-15,http://119.164.216.162:9901/tsfile/live/0015_1.m3u8
东方卫视,http://119.164.216.162:9901/tsfile/live/0107_1.m3u8
北京卫视,http://119.164.216.162:9901/tsfile/live/0122_1.m3u8
浙江卫视,http://119.164.216.162:9901/tsfile/live/0124_1.m3u8
江苏卫视,http://119.164.216.162:9901/tsfile/live/0127_1.m3u8
湖南卫视,http://119.164.216.162:9901/tsfile/live/0128_1.m3u8
天津卫视,http://119.164.216.162:9901/tsfile/live/0135_1.m3u8
广西卫视,http://119.164.216.162:9901/tsfile/live/0113_1.m3u8
吉林卫视,http://119.164.216.162:9901/tsfile/live/0116_1.m3u8
河北卫视,http://119.164.216.162:9901/tsfile/live/0117_1.m3u8
云南卫视,http://119.164.216.162:9901/tsfile/live/0119_1.m3u8
贵州卫视,http://119.164.216.162:9901/tsfile/live/0120_1.m3u8
辽宁卫视,http://119.164.216.162:9901/tsfile/live/0121_1.m3u8
四川卫视,http://119.164.216.162:9901/tsfile/live/0123_1.m3u8
广东卫视,http://119.164.216.162:9901/tsfile/live/0125_1.m3u8
深圳卫视,http://119.164.216.162:9901/tsfile/live/0126_1.m3u8
安徽卫视,http://119.164.216.162:9901/tsfile/live/0130_1.m3u8
湖北卫视,http://119.164.216.162:9901/tsfile/live/0132_1.m3u8
东南卫视,http://119.164.216.162:9901/tsfile/live/0137_1.m3u8
江西卫视,http://119.164.216.162:9901/tsfile/live/0138_1.m3u8
河南卫视,http://119.164.216.162:9901/tsfile/live/0139_1.m3u8
青海卫视,http://119.164.216.162:9901/tsfile/live/0140_1.m3u8
重庆卫视,http://119.164.216.162:9901/tsfile/live/0142_1.m3u8
黑龙江卫视,http://119.164.216.162:9901/tsfile/live/0143_1.m3u8
山东综艺,http://119.164.216.162:9901/tsfile/live/1001_1.m3u8
山东体育,http://119.164.216.162:9901/tsfile/live/1002_1.m3u8
山东齐鲁,http://119.164.216.162:9901/tsfile/live/1003_1.m3u8
山东文旅,http://119.164.216.162:9901/tsfile/live/1004_1.m3u8
山东新闻,http://119.164.216.162:9901/tsfile/live/1005_1.m3u8
山东少儿,http://119.164.216.162:9901/tsfile/live/1006_1.m3u8
山东生活,http://119.164.216.162:9901/tsfile/live/1007_1.m3u8
山东农科,http://119.164.216.162:9901/tsfile/live/1012_1.m3u8
都市剧场,http://119.164.216.162:9901/tsfile/live/1008_1.m3u8
